"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto"
"2.0","2.0","","","ACEITE DE COCO NEUTRO","4300.0","","Unidades","DIETÉTICA / Saludable"
"5.0","5.0","","","ACEITE PRADOS 900ML","2900.0","","Unidades","ALMACÉN / Básico"
"38.0","37.0","","","AF. FULBITO 30G","350.0","","Unidades","DULCES"
"5.0","5.0","","","AGUA 0,5L","700.0","","Unidades","BEBIDA"
"8.0","8.0","","","AJI MOLIDO DULCE 60G ","1500.0","","Unidades","ALMACÉN / Condimentos"
"0.5","0.5","","","AJI MOLIDO DULCE GRANEL","1.0","","kg","Insumos de Producción"
"20.0","20.0","","","AJO 50G ","1500.0","","Unidades","ALMACÉN / Condimentos"
"0.0","0.0","","","AJO EN POLVO 30G","700.0","","Unidades","ALMACÉN / Condimentos"
"0.0","0.0","","","AJO EN POLVO GRANEL","1.0","","kg","Insumos de Producción"
"1.0","1.0","","","AJO GRANEL","1.0","","kg","Insumos de Producción"
"15.0","15.0","","","ALITA POLLO","3750.0","","kg","CONGELADOS / Pollo Crudo"
"15.0","15.0","","","ALMOHADITAS AVELL. 150G","1900.0","","Unidades","DIETÉTICA / Cereales"
"2.35","2.35","","","ALMOHADITAS AVELL. GRANEL","1.0","","kg","Insumos de Producción"
"2.35","2.35","","","ALMOHADITAS CHOC.BLANCO GRANEL","1.0","","kg","Insumos de Producción"
"15.0","15.0","","","ALMOHADITAS CHOC.BLANCO. 150G","2200.0","","Unidades","DIETÉTICA / Cereales"
"12.0","12.0","","","ALMOHADITAS FRUT. 150G","1900.0","","Unidades","DIETÉTICA / Cereales"
"1.9","1.9","","","ALMOHADITAS FRUT. GRANEL","1.0","","kg","Insumos de Producción"
"12.0","12.0","","","ARITOS FRUTADOS 150G ","1500.0","","Unidades","DIETÉTICA / Cereales"
"1.85","1.85","","","ARITOS FRUTADOS GRANEL","1.0","","kg","Insumos de Producción"
"5.25","5.25","","","AROS CEBOLLA GRANEL","1.0","","kg","Insumos de Producción"
"21.0","21.0","","","AROS DE CEBOLLA 250G","3000.0","","Unidades","CONGELADOS / Rebozados"
"0.0","0.0","","","ARRANQUE 35X45 1,4 KG","1.0","","Unidades","Insumos de Producción"
"16.0","16.0","","","BAGGIO 200CC DURAZNO","750.0","","Unidades","BEBIDA"
"18.0","18.0","","","BAGGIO 200CC MULTIFRUTA","750.0","","Unidades","BEBIDA"
"1.0","1.0","","","BAHIA 1 1L VF DD","7700.0","","Unidades","HELADOS"
"4.0","4.0","","","BAHIA 3L V F DD","17500.0","","Unidades","HELADOS"
"0.0","0.0","","","BAHIA BOMBON ESCOCES","12000.0","","Unidades","HELADOS"
"0.0","0.0","","","BANDEJA TELGOPOR 619","1.0","","Unidades","DESCARTABLES"
"6.0","6.0","","","BARBACOA HELLMANS 250G","2900.0","","Unidades","ALMACÉN / Básico"
"12.0","12.0","","","BARRA BON O BON","1300.0","","Unidades","DULCES"
"0.0","0.0","","","BISCOCHOS 9 DE ORO AZUCARADAS","1400.0","","Unidades","SNACKS"
"0.0","0.0","","","BISCOCHOS DON SATUR DULCE 200G","1500.0","","Unidades","SNACKS"
"0.0","0.0","","","BISCOCHOS EL REY CLASICOS 160G","1800.0","","Unidades","SNACKS"
"3.0","3.0","","","BOLITAS CHOCOLATE 120G","1500.0","","Unidades","DIETÉTICA / Cereales"
"0.38","0.38","","","BOLITAS CHOCOLATE GRANEL","1.0","","kg","Insumos de Producción"
"12.0","12.0","","","BOLSA HORNO MOSTAZA Y MIEL ALICANTE","2700.0","","Unidades","ALMACÉN / Básico"
"0.0","0.0","","","BOLSA PAPEL KRAFT N4 X100","1.0","","Unidades","Insumos de Producción"
"0.0","0.0","","","BOLSA PPP 20X30 100 U","1.0","","Unidades","DESCARTABLES"
"0.0","0.0","","","BOLSA PPP 30X40 100U","1.0","","Unidades","DESCARTABLES"
"0.0","0.0","","","BOLSA PPP 32X20 100","1.0","","Unidades","DESCARTABLES"
"0.0","0.0","","","BOLSA PPP 8X15 200 U","1.0","","Unidades","DESCARTABLES"
"-0.46","-0.46","","","BONDIOLA DE CERDO","9000.0","","kg","CONGELADOS / CERDO"
"12.0","12.0","","","CALDO 4 QUESOS  ALICANTE SOBRE","600.0","","Unidades","ALMACÉN / Básico"
"12.0","12.0","","","CALDO CARNE ALICANTE SOBRE","500.0","","Unidades","ALMACÉN / Básico"
