PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO
ACEITE DE COCO NEUTRO,4300.0,DIETÉTICA,Saludable,0
ACEITE PRADOS 900ML,2900.0,ALMACÉN,Básico,0
AF. FULBITO 30G,350.0,DULCES,,0
"AGUA 0,5L",700.0,BEBIDA,,0
AJI MOLIDO DULCE 60G,1500.0,ALMACÉN,Condimentos,0
AJO 50G,1500.0,ALMACÉN,Condimentos,0
AJO EN POLVO 30G,700.0,ALMACÉN,Condimentos,0
ALITA POLLO,3750.0,CONGELADOS,Pollo Crudo,0
ALMOHADITAS AVELL. 150G,1900.0,DIETÉTICA,Cereales,0
ALMOHADITAS CHOC.BLANCO. 150G,2200.0,DIETÉTICA,Cereales,0
ALMOHADITAS FRUT. 150G,1900.0,DIETÉTICA,Cereales,0
ARITOS FRUTADOS 150G,1500.0,DIETÉTICA,Cereales,0
AROS DE CEBOLLA 250G,3000.0,CONGELADOS,Rebozados,0
BAGGIO 200CC DURAZNO,750.0,BEBIDA,,0
BAGGIO 200CC MULTIFRUTA,750.0,BEBIDA,,0
BAHIA 1 1L VF DD,7700.0,HELADOS,,0
BAHIA 3L V F DD,17500.0,HELADOS,3 LT,25
BAHIA BOMBON ESCOCES,12000.0,HELADOS,,0
BARBACOA HELLMANS 250G,2900.0,ALMACÉN,Básico,0
BARRA BON O BON,1300.0,DULCES,,0
BIZCOCHOS 9 DE ORO AZUCARADAS,1400.0,SNACKS,,0
BIZCOCHOS DON SATUR DULCE 200G,1500.0,SNACKS,,0
BIZCOCHOS EL REY CLASICOS 160G,1800.0,SNACKS,,0
BOLITAS CHOCOLATE 120G,1500.0,DIETÉTICA,Cereales,0
BOLSA HORNO MOSTAZA Y MIEL ALICANTE,2700.0,ALMACÉN,Básico,0
BONDIOLA DE CERDO,10000.0,CONGELADOS,CERDO,0
CALDO 4 QUESOS  ALICANTE SOBRE,600.0,ALMACÉN,Básico,0
CALDO CARNE ALICANTE SOBRE,500.0,ALMACÉN,Básico,0
CALDO CHAMPIGNON ALICANTE SOBRE,600.0,ALMACÉN,Básico,0
CALDO CREM/VERDEO. ALICANTE SOBRE,600.0,ALMACÉN,Básico,0
CALDO FINAS HIERB. ALICANTE SOBRE,600.0,ALMACÉN,Básico,0
CALDO GALLINA . ALICANTE SOBRE,400.0,ALMACÉN,Básico,0
CALDO PANCETA ALICANTE SOBRE,600.0,ALMACÉN,Básico,0
CALDO VERDURA ALICANTE SOBRE,500.0,ALMACÉN,Básico,0
