PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO,CANTIDAD,RASTREA_STOCK,ESTADO_STOCK
ACEITE DE COCO NEUTRO,4300.0,DIETÉTICA,Saludable,0,2.0,SI,DISPONIBLE
ACEITE PRADOS 900ML,2900.0,ALMACÉN,Básico,0,5.0,SI,DISPONIBLE
AF. FULBITO 30G,350.0,DULCES,,0,37.0,SI,DISPONIBLE
"AGUA 0,5L",700.0,BEBIDA,,0,5.0,SI,DISPONIBLE
AJI MOLIDO DULCE 60G,1500.0,ALMACÉN,Condimentos,0,8.0,SI,DISPONIBLE
AJO 50G,1500.0,ALMACÉN,Condimentos,0,20.0,SI,DISPONIBLE
AJO EN POLVO 30G,700.0,ALMACÉN,Condimentos,0,15.0,SI,DISPONIBLE
ALITA POLLO,3750.0,CONGELADOS,Pollo Crudo,0,15.0,SI,DISPONIBLE
ALMOHADITAS AVELL. 150G,1900.0,DIETÉTICA,Cereales,0,14.0,SI,DISPONIBLE
ALMOHADITAS CHOC.BLANCO. 150G,2200.0,DIETÉTICA,Cereales,0,14.0,SI,DISPONIBLE
ALMOHADITAS FRUT. 150G,1900.0,DIETÉTICA,Cereales,0,12.0,SI,DISPONIBLE
ARITOS FRUTADOS 150G,1500.0,DIETÉTICA,Cereales,0,12.0,SI,DISPONIBLE
AROS DE CEBOLLA 250G,3000.0,CONGELADOS,Rebozados,0,21.0,SI,DISPONIBLE
BAGGIO 200CC DURAZNO,750.0,BEBIDA,,0,16.0,SI,DISPONIBLE
BAGGIO 200CC MULTIFRUTA,750.0,BEBIDA,,0,18.0,SI,DISPONIBLE
BAHIA BOMBON ESCOCES,12000.0,HELADOS,,0,0.0,NO,SIN CONFIGURAR
BARBACOA HELLMANS 250G,2900.0,ALMACÉN,Básico,0,6.0,SI,DISPONIBLE
BARRA BON O BON,1300.0,DULCES,,0,12.0,SI,DISPONIBLE
BIZCOCHOS 9 DE ORO AZUCARADAS,1400.0,SNACKS,,0,4.0,SI,DISPONIBLE
BIZCOCHOS DON SATUR DULCE 200G,1500.0,SNACKS,,0,5.0,SI,DISPONIBLE
BIZCOCHOS EL REY CLASICOS 160G,1800.0,SNACKS,,0,6.0,SI,DISPONIBLE
BOLITAS CHOCOLATE 120G,1500.0,DIETÉTICA,Cereales,0,3.0,SI,DISPONIBLE
BOLSA HORNO MOSTAZA Y MIEL ALICANTE,2700.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
BONDIOLA DE CERDO,10000.0,CONGELADOS,CERDO,0,5543.16,SI,DISPONIBLE
CALDO 4 QUESOS  ALICANTE SOBRE,600.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO CARNE ALICANTE SOBRE,500.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO CHAMPIGNON ALICANTE SOBRE,600.0,ALMACÉN,Básico,0,10.0,SI,DISPONIBLE
CALDO CREM/VERDEO. ALICANTE SOBRE,600.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO FINAS HIERB. ALICANTE SOBRE,600.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO GALLINA . ALICANTE SOBRE,400.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO PANCETA ALICANTE SOBRE,600.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CALDO VERDURA ALICANTE SOBRE,500.0,ALMACÉN,Básico,0,12.0,SI,DISPONIBLE
CARTABELLA ROLLO COCINAX3,1900.0,ALMACÉN,Básico,0,8.0,SI,DISPONIBLE
CHAMPIGNION LATA TROZOS,3500.0,ALMACÉN,Básico,0,2.0,SI,DISPONIBLE
CHIPA X6 U,4500.0,CONGELADOS,GUSTITOS,10,7.0,SI,DISPONIBLE
CHIZITOS 100G JULI-CROC,1000.0,SNACKS,Fraccionado,0,7.0,SI,DISPONIBLE
