"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"2.0","2.0","","","","ACEITE DE COCO NEUTRO","3400.0","","Unidades","DIETÉTICA","7","Saludable","DIETÉTICA / Saludable","Por cantidad","True","Bienes"
"9.0","9.0","","","","ACEITE PRADOS 900ML","2900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"19.0","19.0","","","","AF. FULBITO 30G","350.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"2.0","2.0","","","","AGUA 0,5L","700.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"8.0","8.0","","","","AJI MOLIDO DULCE 60G ","1500.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"0.5","0.5","","","","AJI MOLIDO DULCE GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"20.0","20.0","","","","AJO 50G ","1500.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"14.0","14.0","","","","AJO EN POLVO 30G","700.0","","Unidades","ALMACÉN","7","Condimentos","ALMACÉN / Condimentos","Por cantidad","True","Bienes"
"0.43","0.43","","","","AJO EN POLVO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"1.0","1.0","","","","AJO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.0","0.0","","","","ALITA POLLO","3750.0","","kg","CONGELADOS","6","Pollo Crudo","CONGELADOS / Pollo Crudo","Por cantidad","True","Bienes"
"4.48","4.48","","","","ALITAS CRISPY PRECOCIDAS","9500.0","","kg","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"13.0","13.0","","","","ALMOHADITAS AVELL. 150G","1900.0","","Unidades","DIETÉTICA","5","Cereales","DIETÉTICA / Cereales","Por cantidad","True","Bienes"
"2.05","2.05","","","","ALMOHADITAS AVELL. GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"1.6","1.6","","","","ALMOHADITAS CHOC.BLANCO GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"10.0","10.0","","","","ALMOHADITAS CHOC.BLANCO. 150G","2200.0","","Unidades","DIETÉTICA","5","Cereales","DIETÉTICA / Cereales","Por cantidad","True","Bienes"
"7.0","7.0","","","","ALMOHADITAS FRUT. 150G","1900.0","","Unidades","DIETÉTICA","5","Cereales","DIETÉTICA / Cereales","Por cantidad","True","Bienes"
"1.15","1.15","","","","ALMOHADITAS FRUT. GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"7.0","7.0","","","","ARITOS FRUTADOS 150G ","1500.0","","Unidades","DIETÉTICA","5","Cereales","DIETÉTICA / Cereales","Por cantidad","True","Bienes"
"1.1","1.1","","","","ARITOS FRUTADOS GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.0","0.0","","","","ARITOS PIZZA 100G","1000.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"0.0","0.0","","","","ARITOS PIZZA JULI-GRANEL GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"3.5","3.5","","","","AROS CEBOLLA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"14.0","14.0","","","","AROS DE CEBOLLA 250G","3000.0","","Unidades","CONGELADOS","11","Rebozados","CONGELADOS / Rebozados","Por cantidad","True","Bienes"
"0.0","0.0","","","","ARRANQUE 35X45 1,4 KG","1.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"14.0","14.0","","","","BAGGIO 200CC DURAZNO","750.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"23.0","23.0","","","","BAGGIO 200CC MULTIFRUTA","750.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"0.0","0.0","","","","BAHIA BOMBON ESCOCES","12000.0","","Unidades","","17","HELADOS","HELADOS","Por cantidad","","Bienes"
"0.0","0.0","","","","BANDEJA TELGOPOR 619","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"5.0","5.0","","","","BARBACOA HELLMANS 250G","2300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"10.0","10.0","","","","BARRA BON O BON","1300.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"3.0","3.0","","","","BIZCOCHOS 9 DE ORO AZUCARADAS","1400.0","","Unidades","","14","SNACKS","SNACKS","Por cantidad","True","Bienes"
"3.0","3.0","","","","BIZCOCHOS DON SATUR DULCE 200G","1500.0","","Unidades","","14","SNACKS","SNACKS","Por cantidad","True","Bienes"
"7.0","7.0","","","","BIZCOCHOS EL REY CLASICOS 160G","1800.0","","Unidades","","14","SNACKS","SNACKS","Por cantidad","True","Bienes"
"1.85","1.85","","","","BOGA DESPINADA","13000.0","","Unidades","CONGELADOS","1","PESCADO","CONGELADOS / PESCADO","Por cantidad","True","Bienes"
"3.0","3.0","","","","BOLITAS CHOCOLATE 120G","1500.0","","Unidades","DIETÉTICA","5","Cereales","DIETÉTICA / Cereales","Por cantidad","True","Bienes"
"0.38","0.38","","","","BOLITAS CHOCOLATE GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"12.0","12.0","","","","BOLSA HORNO MOSTAZA Y MIEL ALICANTE","2300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","BOLSA PAPEL KRAFT N4 X100","1.0","","Unidades","","42","Insumos de Producción","Insumos de Producción","Por cantidad","","Bienes"
"0.0","0.0","","","","BOLSA PLASTICO","0.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","True","Bienes"
"0.0","0.0","","","","BOLSA PPP 20X30 100 U","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","BOLSA PPP 30X40 100U","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","BOLSA PPP 32X20 100","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","BOLSA PPP 8X15 200 U","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","BONDIOLA DE CERDO","10000.0","","kg","CONGELADOS","1","CERDO","CONGELADOS / CERDO","Por cantidad","True","Bienes"
